energy,photon_flux
278.622,0.0150578
278.974,0.00896014
279.325,0.0312920
279.677,0.00925595
280.028,0.00598560
280.380,0.0486172
280.731,0.0428415
281.083,0.0124859
281.434,0.0218910
281.786,0.0279897
282.137,0.00309492
282.489,0.0377134
282.840,0.0218557
283.192,0.0188537
283.543,0.0127503
283.895,0.0165771
284.246,0.0222865
284.598,0.0223714
284.949,0.0189321
285.301,0.00983883
285.652,0.0126369
286.004,0.00959360
286.355,0.0125448
286.706,0.0505744
287.058,0.0534084
287.409,0.0196503
287.761,0.0253760
288.112,0.0161695
288.464,0.0288597
288.815,0.00928834
289.167,0.0416170
289.518,0.0158864
289.870,0.0162941
290.221,0.00968084
290.573,0.00944817
290.924,0.0169510
291.276,0.0226523
291.627,0.0577719
291.979,0.0226125
292.330,0.0574102
292.682,0.0163381
293.033,0.0100234
293.385,0.0580942
293.736,0.0483308
294.088,0.0322925
294.439,0.00317259
294.791,0.0292776
295.142,0.00643669
295.494,0.0196318
295.845,0.0194366
296.197,0.00997969
296.548,0.0167678
296.900,0.0491819
297.251,0.00649529
297.603,0.0202922
297.954,0.0330470
298.306,0.0234415
298.657,0.0101562
299.009,0.00993648
299.360,0.0429569
299.712,0.00653939
300.063,0.127684
300.415,0.0139987
300.766,0.0497377
301.118,0.0281433
301.469,0.0139758
301.821,0.0168967
302.172,0.0644580
302.524,0.0143238
302.875,0.0229227
303.227,0.00868894
303.578,0.0114402
303.930,0.129370
304.281,0.0563063
304.633,0.0177120
304.984,0.0113334
305.336,0.00872632
305.687,0.00864570
306.039,0.0148431
306.390,0.0232589
306.742,0.00627743
307.093,0.124616
307.445,0.0147573
307.796,0.00875087
308.148,0.0259779
308.499,0.0172311
308.851,0.0228854
309.202,0.0114915
309.554,0.0207969
309.905,0.00879518
310.257,0.120434
310.608,0.132728
310.960,0.0176310
311.311,0.0206182
311.663,0.00583828
312.014,0.00863345
312.366,0.0146212
312.717,0.00905703
313.069,0.0115889
313.420,0.00573267
313.772,0.0580253
314.123,0.0176568
314.475,0.0204754
314.826,0.0116848
315.178,0.0178409
315.529,0.134430
315.880,0.0671801
316.232,0.00297423
316.583,0.0646906
316.935,0.00903792
317.286,0.00289204
317.638,0.0126902
317.989,0.00000
318.341,0.00915231
318.692,0.0124863
319.044,0.129892
319.395,0.0438424
319.747,0.00908693
320.098,0.00907133
320.450,0.00886167
320.801,0.0469547
321.153,0.0566250
321.504,0.0180140
321.856,0.0119447
322.207,0.0120598
322.559,0.0215353
322.910,0.00967025
323.262,0.0184182
